protocol,parties,beta,ping_ms,bandwidth,net_emulated,batch,threads,reps,time_ms_median,throughput_dec_per_sec,bytes_per_dec,rounds,mismatches,raw_times_s
modconv1,4,2,1,1gbit,yes,3000,1,5,63.6218,47153.6,100.9,11,0,"0.0634718 0.0651242 0.0647735 0.0630228 0.0636218"
modconv2,4,8,1,1gbit,yes,3000,1,5,65.3399,45913.8,100.9,11,0,"0.0636998 0.0653399 0.0678992 0.0659484 0.062607"
modconv1,4,2,1,1gbit,yes,3000,5,5,42.4993,70589.4,101.9,55,0,"0.0522273 0.0424993 0.0419372 0.0425861 0.0419179"
modconv2,4,8,1,1gbit,yes,3000,5,5,42.2441,71015.8,101.9,55,0,"0.0363045 0.047537 0.0422441 0.0441759 0.0403432"
modconv1,8,2,1,1gbit,yes,3000,1,5,120.3000,24937.7,235.5,11,0,"0.122079 0.126538 0.118702 0.1203 0.116592"
modconv2,8,16,1,1gbit,yes,3000,1,5,112.9680,26556.2,235.5,11,0,"0.107336 0.105365 0.112982 0.112968 0.114115"
modconv1,8,2,1,1gbit,yes,3000,5,5,162.0420,18513.7,237.8,55,0,"0.162042 0.175921 0.169634 0.159386 0.159956"
modconv2,8,16,1,1gbit,yes,3000,5,5,175.0200,17140.9,237.8,55,0,"0.205721 0.163273 0.216528 0.173253 0.17502"
modconv1,16,2,1,1gbit,yes,3000,1,5,357.8030,8384.5,504.6,11,0,"0.350292 0.357803 0.362222 0.36805 0.312015"
modconv2,16,32,1,1gbit,yes,3000,1,5,363.8820,8244.4,504.6,11,0,"0.349579 0.363882 0.35593 0.376103 0.36938"
modconv1,16,2,1,1gbit,yes,3000,5,5,906.9770,3307.7,509.6,55,0,"1.00473 0.978831 0.789466 0.906977 0.722325"
modconv2,16,32,1,1gbit,yes,3000,5,5,859.2650,3491.4,509.6,55,0,"0.738196 0.90031 0.821304 0.902691 0.859265"
modconv1,4,2,10,1gbit,yes,3000,1,5,124.7340,24051.2,100.9,11,0,"0.129639 0.124734 0.123226 0.126041 0.123341"
modconv2,4,8,10,1gbit,yes,3000,1,5,122.4550,24498.8,100.9,11,0,"0.112644 0.122455 0.122281 0.12375 0.125014"
modconv1,4,2,10,1gbit,yes,3000,5,5,153.9400,19488.1,101.9,55,0,"0.145529 0.15739 0.15394 0.149825 0.160572"
modconv2,4,8,10,1gbit,yes,3000,5,5,153.9840,19482.5,101.9,55,0,"0.15074 0.156572 0.154829 0.145636 0.153984"
modconv1,8,2,10,1gbit,yes,3000,1,5,190.0700,15783.7,235.5,11,0,"0.192673 0.192698 0.175564 0.171873 0.19007"
modconv2,8,16,10,1gbit,yes,3000,1,5,188.1440,15945.2,235.5,11,0,"0.188144 0.182647 0.156929 0.189383 0.188652"
modconv1,8,2,10,1gbit,yes,3000,5,5,363.9910,8242.0,237.8,55,0,"0.341341 0.363991 0.375465 0.388384 0.347462"
modconv2,8,16,10,1gbit,yes,3000,5,5,352.9710,8499.3,237.8,55,0,"0.347673 0.352971 0.363605 0.366685 0.314335"
modconv1,16,2,10,1gbit,yes,3000,1,5,393.6170,7621.6,504.6,11,0,"0.391765 0.426206 0.385174 0.393617 0.434444"
modconv2,16,32,10,1gbit,yes,3000,1,5,399.6930,7505.8,504.6,11,0,"0.409126 0.385324 0.391936 0.399693 0.428979"
modconv1,16,2,10,1gbit,yes,3000,5,5,1053.2800,2848.2,509.6,55,0,"0.977173 1.07554 1.05328 0.947105 1.13191"
modconv2,16,32,10,1gbit,yes,3000,5,5,998.3420,3005.0,509.6,55,0,"0.997052 1.00799 0.998342 0.979066 1.24527"
modconv1,4,2,100,1gbit,yes,3000,1,5,707.8100,4238.4,100.9,11,0,"0.70781 0.700069 0.712172 0.712478 0.698391"
modconv2,4,8,100,1gbit,yes,3000,1,5,707.2990,4241.5,100.9,11,0,"0.707299 0.697662 0.701997 0.710258 0.707334"
modconv1,4,2,100,1gbit,yes,3000,5,5,1283.7500,2336.9,101.9,55,0,"1.29969 1.27921 1.31742 1.28375 1.27267"
modconv2,4,8,100,1gbit,yes,3000,5,5,1284.5700,2335.4,101.9,55,0,"1.26886 1.28773 1.27657 1.28457 1.29504"
modconv1,8,2,100,1gbit,yes,3000,1,5,750.0320,3999.8,235.5,11,0,"0.764796 0.750032 0.739807 0.746422 0.755872"
modconv2,8,16,100,1gbit,yes,3000,1,5,760.8290,3943.1,235.5,11,0,"0.737671 0.760829 0.771376 0.787859 0.73729"
modconv1,8,2,100,1gbit,yes,3000,5,5,1507.3900,1990.2,237.8,55,0,"1.51788 1.58561 1.50739 1.46858 1.48117"
modconv2,8,16,100,1gbit,yes,3000,5,5,1517.6800,1976.7,237.8,55,0,"1.54396 1.51768 1.53068 1.47423 1.49878"
modconv1,16,2,100,1gbit,yes,3000,1,5,992.7860,3021.8,504.6,11,0,"1.05348 0.991393 0.892302 1.04314 0.992786"
modconv2,16,32,100,1gbit,yes,3000,1,5,974.0490,3079.9,504.6,11,0,"0.9217 0.937143 0.976718 0.978089 0.974049"
modconv1,16,2,100,1gbit,yes,3000,5,5,4972.3300,603.3,509.6,55,0,"4.448 5.21761 5.27203 4.97233 4.92176"
modconv2,16,32,100,1gbit,yes,3000,5,5,5053.8800,593.6,509.6,55,0,"5.05388 5.5218 4.63415 5.04541 5.43721"
modconv1,4,2,1,100mbit,yes,3000,1,5,181.9770,16485.6,100.9,11,0,"0.182151 0.181977 0.178064 0.190214 0.175618"
modconv2,4,8,1,100mbit,yes,3000,1,5,184.2030,16286.4,100.9,11,0,"0.194321 0.180204 0.184203 0.197629 0.163101"
modconv1,4,2,1,100mbit,yes,3000,5,5,142.2030,21096.6,101.9,55,0,"0.145334 0.134062 0.141458 0.143523 0.142203"
modconv2,4,8,1,100mbit,yes,3000,5,5,141.2340,21241.3,101.9,55,0,"0.133161 0.141015 0.148949 0.144145 0.141234"
modconv1,8,2,1,100mbit,yes,3000,1,5,714.6270,4198.0,235.5,11,0,"0.744576 0.698972 0.72266 0.702683 0.714627"
modconv2,8,16,1,100mbit,yes,3000,1,5,709.8730,4226.1,235.5,11,0,"0.737021 0.709873 0.702345 0.680745 0.765118"
modconv1,8,2,1,100mbit,yes,3000,5,5,654.7830,4581.7,237.8,55,0,"0.704137 0.639528 0.654783 0.692496 0.632126"
modconv2,8,16,1,100mbit,yes,3000,5,5,692.7140,4330.8,237.8,55,0,"0.698837 0.694229 0.669554 0.664457 0.692714"
modconv1,16,2,1,100mbit,yes,3000,1,5,2932.6300,1023.0,504.6,11,0,"3.01955 2.93263 2.82046 2.68337 2.97355"
modconv2,16,32,1,100mbit,yes,3000,1,5,2933.2600,1022.8,504.6,11,0,"2.91193 2.93326 2.87775 3.0388 3.02599"
modconv1,16,2,1,100mbit,yes,3000,5,5,4320.0200,694.4,509.6,55,0,"4.21642 4.32002 4.60191 4.74472 3.68397"
modconv2,16,32,1,100mbit,yes,3000,5,5,4499.8400,666.7,509.6,55,0,"4.48647 4.70017 5.26997 4.49984 3.58757"
modconv1,4,2,10,100mbit,yes,3000,1,5,211.8360,14161.9,100.9,11,0,"0.222428 0.216016 0.211836 0.206702 0.205834"
modconv2,4,8,10,100mbit,yes,3000,1,5,216.6250,13848.8,100.9,11,0,"0.215123 0.217165 0.2139 0.216625 0.217886"
modconv1,4,2,10,100mbit,yes,3000,5,5,226.4770,13246.4,101.9,55,0,"0.226477 0.237166 0.249548 0.220244 0.206579"
modconv2,4,8,10,100mbit,yes,3000,5,5,224.3700,13370.8,101.9,55,0,"0.231356 0.221771 0.224365 0.22437 0.242948"
modconv1,8,2,10,100mbit,yes,3000,1,5,790.1220,3796.9,235.5,11,0,"0.766302 0.782279 0.820396 0.791716 0.790122"
modconv2,8,16,10,100mbit,yes,3000,1,5,801.3690,3743.6,235.5,11,0,"0.774532 0.801369 0.779933 0.802187 0.824057"
modconv1,8,2,10,100mbit,yes,3000,5,5,812.8540,3690.7,237.8,55,0,"0.804766 0.813358 0.805069 0.812854 0.814689"
modconv2,8,16,10,100mbit,yes,3000,5,5,814.4060,3683.7,237.8,55,0,"0.8269 0.799733 0.79697 0.814406 0.856605"
modconv1,16,2,10,100mbit,yes,3000,1,5,3036.9100,987.8,0.0,0,0,"3.04339 3.00331 3.03691 3.05229 3.03518"
modconv2,16,32,10,100mbit,yes,3000,1,5,2999.6900,1000.1,504.6,11,0,"2.94714 2.95095 3.12829 2.99969 3.0147"
modconv1,16,2,10,100mbit,yes,3000,5,5,4851.7100,618.3,407.7,44,0,"4.85171 5.02696 4.65299 5.67465 4.6325"
modconv2,16,32,10,100mbit,yes,3000,5,5,4980.1000,602.4,509.6,55,0,"4.9801 4.42609 5.09199 4.04409 5.52716"
modconv1,4,2,100,100mbit,yes,3000,1,5,780.2210,3845.1,100.9,11,0,"0.781812 0.781689 0.780221 0.780142 0.78016"
modconv2,4,8,100,100mbit,yes,3000,1,5,780.5170,3843.6,100.9,11,0,"0.780484 0.780563 0.780469 0.780517 0.780861"
modconv1,4,2,100,100mbit,yes,3000,5,5,1339.7800,2239.2,101.9,55,0,"1.33678 1.327 1.34866 1.33978 1.34968"
modconv2,4,8,100,100mbit,yes,3000,5,5,1316.3100,2279.1,101.9,55,0,"1.32595 1.30512 1.31631 1.3211 1.31107"
modconv1,8,2,100,100mbit,yes,3000,1,5,1124.9200,2666.9,235.5,11,0,"1.1243 1.12548 1.12454 1.12492 1.1262"
modconv2,8,16,100,100mbit,yes,3000,1,5,1125.9900,2664.3,235.5,11,0,"1.12599 1.12775 1.12529 1.12636 1.12522"
modconv1,8,2,100,100mbit,yes,3000,5,5,1717.1500,1747.1,237.8,55,0,"1.75567 1.70089 1.7018 1.72595 1.71715"
modconv2,8,16,100,100mbit,yes,3000,5,5,1734.6600,1729.4,237.8,55,0,"1.73135 1.74008 1.70553 1.73466 1.76788"
modconv1,16,2,100,100mbit,yes,3000,1,5,3839.6100,781.3,0.0,0,0,"3.83961 3.81276 3.88039 3.2204 3.96654"
modconv2,16,32,100,100mbit,yes,3000,1,5,3951.0500,759.3,504.6,11,0,"3.88461 3.98289 3.96987 3.94474 3.95105"
modconv1,16,2,100,100mbit,yes,3000,5,5,7076.7600,423.9,611.5,66,0,"6.08313 8.21903 6.46587 7.07676 7.44997"
modconv2,16,32,100,100mbit,yes,3000,5,5,7520.2800,398.9,509.6,55,0,"8.41488 6.48431 7.16202 7.52028 7.61612"
