protocol,parties,beta,ping_ms,bandwidth,net_emulated,reps,latency_ms_median,rounds,bytes_per_dec,mismatches,raw_times_s
modconv1,4,2,1,1gbit,yes,5,7.3848,10,755.0,0,"0.0085239 0.0073848 0.011241 0.00737518 0.00686616"
modconv2,4,8,1,1gbit,yes,5,6.8335,10,755.0,0,"0.00691887 0.00683353 0.00692998 0.00671936 0.00670131"
modconv1,8,2,1,1gbit,yes,5,15.2104,10,1761.6,0,"0.0153012 0.00819423 0.0152104 0.0111637 0.0206188"
modconv2,8,16,1,1gbit,yes,5,15.1535,10,1761.6,0,"0.0158555 0.0156371 0.0102835 0.014554 0.0151535"
modconv1,16,2,1,1gbit,yes,5,103.9670,10,3774.9,0,"0.131274 0.132398 0.0439456 0.103967 0.0884269"
modconv2,16,32,1,1gbit,yes,5,106.9010,10,3774.9,0,"0.106901 0.0970394 0.116021 0.0388426 0.19192"
modconv1,4,2,10,1gbit,yes,5,61.5496,10,755.0,0,"0.064312 0.0610016 0.0641447 0.0615496 0.0611263"
modconv2,4,8,10,1gbit,yes,5,61.2755,10,755.0,0,"0.0612755 0.0611216 0.0611272 0.0614373 0.109564"
modconv1,8,2,10,1gbit,yes,5,64.0360,10,1761.6,0,"0.0674492 0.0688636 0.0632093 0.0625808 0.064036"
modconv2,8,16,10,1gbit,yes,5,65.6177,10,1761.6,0,"0.0625539 0.0656177 0.0628088 0.066394 0.0664853"
modconv1,16,2,10,1gbit,yes,5,111.7800,10,3774.9,0,"0.147908 0.11178 0.100106 0.11343 0.10683"
modconv2,16,32,10,1gbit,yes,5,92.2827,10,3774.9,0,"0.102462 0.0847287 0.0733893 0.0922827 0.115872"
modconv1,4,2,100,1gbit,yes,5,602.2520,10,755.0,0,"0.601027 0.603762 0.602252 0.605072 0.601803"
modconv2,4,8,100,1gbit,yes,5,601.0650,10,755.0,0,"0.601043 0.601078 0.601065 0.600987 0.601351"
modconv1,8,2,100,1gbit,yes,5,606.0760,10,1761.6,0,"0.606076 0.602757 0.607428 0.606125 0.602655"
modconv2,8,16,100,1gbit,yes,5,605.7590,10,1761.6,0,"0.607981 0.602617 0.605759 0.604774 0.605944"
modconv1,16,2,100,1gbit,yes,5,636.0610,10,3774.9,0,"0.635834 0.643798 0.636061 0.63847 0.623935"
modconv2,16,32,100,1gbit,yes,5,643.9210,10,3774.9,0,"0.676267 0.651958 0.639923 0.643921 0.642519"
