protocol,parties,beta,ping_ms,bandwidth,net_emulated,batch,time_s,mb_party0,rounds,correct
modconv1_online,4,2,1,100mbit,yes,default,0.00392857,0.00036,5,yes
modconv2_online,4,8,1,100mbit,yes,default,0.00397205,0.00036,5,yes
modconv3_online,4,-,1,100mbit,yes,default,5.3026,16.317,89,yes
modconv1_online,8,2,1,100mbit,yes,default,0.00717804,0.00084,5,yes
modconv2_online,8,16,1,100mbit,yes,default,0.0072461,0.00084,5,yes
modconv3_online,8,-,1,100mbit,yes,default,24.8452,38.0731,185,yes
modconv1_online,16,2,1,100mbit,yes,default,0.076677,0.0018,5,yes
modconv2_online,16,32,1,100mbit,yes,default,0.0431523,0.0018,5,yes
modconv1_online,4,2,1,1gbit,yes,default,0.00345521,0.00036,5,yes
modconv2_online,4,8,1,1gbit,yes,default,0.00355201,0.00036,5,yes
modconv3_online,4,-,1,1gbit,yes,default,0.594319,16.317,89,yes
modconv1_online,8,2,1,1gbit,yes,default,0.00414481,0.00084,5,yes
modconv2_online,8,16,1,1gbit,yes,default,0.00410607,0.00084,5,yes
modconv3_online,8,-,1,1gbit,yes,default,2.50939,38.0731,185,yes
modconv1_online,16,2,1,1gbit,yes,default,0.0199502,0.0018,5,yes
modconv2_online,16,32,1,1gbit,yes,default,0.0238968,0.0018,5,yes
modconv3_online,16,-,1,1gbit,yes,default,10.6712,81.4944,351,yes
modconv1_online,4,2,10,100mbit,yes,default,0.0318662,0.00036,5,yes
modconv2_online,4,8,10,100mbit,yes,default,0.0309475,0.00036,5,yes
modconv3_online,4,-,10,100mbit,yes,default,5.49947,16.317,89,yes
modconv1_online,8,2,10,100mbit,yes,default,0.0342787,0.00084,5,yes
modconv2_online,8,16,10,100mbit,yes,default,0.0359208,0.00084,5,yes
modconv3_online,8,-,10,100mbit,yes,default,24.866,38.0731,185,yes
modconv1_online,16,2,10,100mbit,yes,default,0.0600543,0.0018,5,yes
modconv2_online,16,32,10,100mbit,yes,default,0.0476337,0.0018,5,yes
modconv1_online,4,2,10,1gbit,yes,default,0.0305176,0.00036,5,yes
modconv2_online,4,8,10,1gbit,yes,default,0.0304576,0.00036,5,yes
modconv3_online,4,-,10,1gbit,yes,default,0.781372,16.317,89,yes
modconv1_online,8,2,10,1gbit,yes,default,0.0316764,0.00084,5,yes
modconv2_online,8,16,10,1gbit,yes,default,0.0319896,0.00084,5,yes
modconv3_online,8,-,10,1gbit,yes,default,2.66216,38.0731,185,yes
modconv1_online,16,2,10,1gbit,yes,default,0.0638615,0.0018,5,yes
modconv2_online,16,32,10,1gbit,yes,default,0.0494385,0.0018,5,yes
modconv3_online,16,-,10,1gbit,yes,default,10.8631,81.4944,351,yes
modconv1_online,4,2,100,100mbit,yes,default,0.301014,0.00036,5,yes
modconv2_online,4,8,100,100mbit,yes,default,0.300955,0.00036,5,yes
modconv3_online,4,-,100,100mbit,yes,default,7.27082,16.317,89,yes
modconv1_online,8,2,100,100mbit,yes,default,0.305783,0.00084,5,yes
modconv2_online,8,16,100,100mbit,yes,default,0.306536,0.00084,5,yes
modconv3_online,8,-,100,100mbit,yes,default,26.7311,38.0731,185,yes
modconv1_online,16,2,100,100mbit,yes,default,0.317597,0.0018,5,yes
modconv2_online,16,32,100,100mbit,yes,default,0.317446,0.0018,5,yes
modconv1_online,4,2,100,1gbit,yes,default,0.300483,0.00036,5,yes
modconv2_online,4,8,100,1gbit,yes,default,0.300533,0.00036,5,yes
modconv3_online,4,-,100,1gbit,yes,default,2.68654,16.317,89,yes
modconv1_online,8,2,100,1gbit,yes,default,0.303435,0.00084,5,yes
modconv2_online,8,16,100,1gbit,yes,default,0.301236,0.00084,5,yes
modconv3_online,8,-,100,1gbit,yes,default,4.56465,38.0731,185,yes
modconv1_online,16,2,100,1gbit,yes,default,0.307943,0.0018,5,yes
modconv2_online,16,32,100,1gbit,yes,default,0.319574,0.0018,5,yes
modconv3_online,16,-,100,1gbit,yes,default,12.8666,81.4944,351,yes
