protocol,parties,beta,ping_ms,bandwidth,net_emulated,latency_ms,rounds,mb_party0,mismatches
modconv1,4,2,1,1gbit,yes,6.8582,10,0.00072,0
modconv2,4,8,1,1gbit,yes,7.6345,10,0.00072,0
modconv1,8,2,1,1gbit,yes,11.4658,10,0.00168,0
modconv2,8,16,1,1gbit,yes,14.2973,10,0.00168,0
modconv1,16,2,1,1gbit,yes,75.7576,10,0.0036,0
modconv2,16,32,1,1gbit,yes,54.8072,10,0.0036,0
modconv1,4,2,10,1gbit,yes,60.9232,10,0.00072,0
modconv2,4,8,10,1gbit,yes,61.0977,10,0.00072,0
modconv1,8,2,10,1gbit,yes,62.6759,10,0.00168,0
modconv2,8,16,10,1gbit,yes,66.8078,10,0.00168,0
modconv1,16,2,10,1gbit,yes,110.3200,10,0.0036,0
modconv2,16,32,10,1gbit,yes,98.2314,10,0.0036,0
modconv1,4,2,100,1gbit,yes,616.4720,10,0.00072,0
modconv2,4,8,100,1gbit,yes,601.0590,10,0.00072,0
modconv1,8,2,100,1gbit,yes,607.8610,10,0.00168,0
modconv2,8,16,100,1gbit,yes,603.9160,10,0.00168,0
modconv1,16,2,100,1gbit,yes,631.9630,10,0.0036,0
modconv2,16,32,100,1gbit,yes,626.7560,10,0.0036,0
