protocol,batch,threads,throughput_dec_per_sec,bytes_per_dec,rounds,mismatches,raw_times_s
modconv1,1000,1,38820.6,101.4,11,0,"0.0232665 0.0257547 0.0257595 0.0285236 0.0265326"
modconv1,1000,2,40421.8,102.2,22,0,"0.0195101 0.027554 0.0247391 0.0238459 0.0311021"
modconv1,1000,4,38632.4,103.7,44,0,"0.024865 0.0221882 0.0314289 0.0275759 0.025885"
modconv1,1000,5,37079.5,104.4,55,0,"0.0286074 0.0250093 0.0246362 0.0269691 0.0298601"
modconv1,5000,1,49177.7,100.8,11,0,"0.107476 0.0853321 0.101672 0.0968821 0.108018"
modconv1,5000,2,57110.0,101.0,22,0,"0.0875503 0.0701928 0.0922249 0.0704773 0.0904709"
modconv1,5000,4,78953.5,101.3,44,0,"0.0590483 0.0628859 0.06982 0.0751265 0.0633284"
modconv1,5000,5,66747.9,101.4,55,0,"0.0705765 0.0749087 0.075965 0.0946366 0.0679364"
modconv1,10000,1,55832.5,100.7,11,0,"0.207916 0.17263 0.179107 0.20372 0.171247"
modconv1,10000,2,75927.3,100.8,22,0,"0.15023 0.130667 0.20139 0.12946 0.131705"
modconv1,10000,4,78709.8,101.0,44,0,"0.127049 0.122148 0.11805 0.129698 0.136773"
modconv1,10000,5,94471.5,101.0,55,0,"0.105108 0.105852 0.10133 0.115644 0.124918"
modconv2,1000,1,43028.5,101.4,11,0,"0.0228619 0.0232404 0.0227111 0.0257104 0.0261695"
modconv2,1000,2,36820.9,102.2,22,0,"0.0220165 0.0271585 0.0305102 0.0228717 0.0325371"
modconv2,1000,4,42297.1,103.7,44,0,"0.0256912 0.0288694 0.0203248 0.0220674 0.0236423"
modconv2,1000,5,37918.9,104.4,55,0,"0.0253516 0.0300167 0.0263721 0.0244099 0.026733"
modconv2,5000,1,57811.9,100.8,11,0,"0.0843586 0.0919441 0.0858166 0.0864874 0.0948097"
modconv2,5000,2,54890.2,101.0,22,0,"0.080805 0.0912562 0.091091 0.114379 0.0706787"
modconv2,5000,4,80171.0,101.3,44,0,"0.0617615 0.060354 0.0623667 0.063775 0.0758168"
modconv2,5000,5,79885.9,101.4,55,0,"0.0562353 0.0598581 0.0789093 0.0625893 0.0689447"
modconv2,10000,1,50184.9,100.7,11,0,"0.180753 0.209551 0.212323 0.199263 0.187474"
modconv2,10000,2,62800.7,100.8,22,0,"0.159234 0.121452 0.139075 0.206486 0.169844"
modconv2,10000,4,78065.2,101.0,44,0,"0.132034 0.128098 0.117466 0.119911 0.136448"
modconv2,10000,5,84348.3,101.0,55,0,"0.126275 0.104759 0.126021 0.118556 0.104044"
